Gender,Age,Enthnicity,E_L1,daily_L,E_prof,pro_conv_base,int_conv_base,soc_conv_base,exp_conv_base,suit_conv_base,pro_conv_emoji,int_conv_emoji,soc_conv_emoji,exp_conv_emoji,suit_conv_emoji,pro_conv_def,int_conv_def,soc_conv_def,exp_conv_def,suit_conv_def,first_conv,second_conv,third_conv,pro_story_def,int_story_def,soc_story_def,exp_story_def,suit_story_def,pro_story_base,int_story_base,soc_story_base,exp_story_base,suit_story_base,pro_story_emoji,int_story_emoji,soc_story_emoji,exp_story_emoji,suit_story_emoji,first_story,second_story,third_story
Female,25-35,Southeast Asian and White,Yes,English,5,5,7,1,1,3,3,3,9,9,7,3,4,7,5,8,Voice 2,Voice 3,Voice 1,7,7,8,8,9,6,9,5,3,5,5,5,9,9,9,Voice 3,Voice 2,Voice 1
Male,35-45,Chinese,No,Chinese,5,5,8,4,1,3,4,4,3,7,4,8,7,7,7,8,Voice 3,Voice 1,Voice 2,7,4,8,7,7,5,8,8,5,8,7,8,8,8,8,Voice 3,Voice 2,Voice 1
Female,25-35,"West Asian (e.g., Iranian, Afghan)",No,Farsi,4,5,9,2,1,2,5,9,5,9,1,5,8,6,2,7,Voice 3,Voice 1,Voice 2,3,7,2,2,3,1,9,1,1,1,3,10,4,7,4,Voice 3,Voice 1,Voice 2
Female,25-35,"West Asian (e.g., Iranian, Afghan)",No,Persian,4,2,7,2,2,1,8,8,9,9,8,7,9,9,7,10,Voice 3,Voice 2,Voice 1,5,4,3,3,4,3,7,3,4,3,6,8,8,10,7,Voice 1,Voice 3,Voice 2
Male,25-35,Chinese,Yes,English,5,8,9,8,2,7,8,3,8,10,3,4,2,5,2,2,Voice 1,Voice 2,Voice 3,5,4,4,2,1,4,8,4,3,3,9,8,9,10,8,Voice 3,Voice 2,Voice 1
Female,18-25,Chinese,Yes,English,5,4,9,4,3,8,3,5,4,6,5,5,8,5,6,5,Voice 1,Voice 3,Voice 2,7,9,6,5,6,5,9,4,4,4,7,9,8,8,8,Voice 3,Voice 1,Voice 2
Male,25-35,Peraian,No,English,3,4,10,1,1,3,8,8,6,8,6,8,10,7,5,8,Voice 3,Voice 2,Voice 1,3,9,3,3,2,2,9,2,2,2,7,6,7,6,7,Voice 3,Voice 2,Voice 1
Female,25-35,Chinese,No,Chinese,4,3,7,3,2,7,6,4,8,8,5,9,9,9,7,8,Voice 3,Voice 1,Voice 2,5,5,5,5,6,4,4,4,4,6,7,7,7,7,7,Voice 3,Voice 1,Voice 2
Female,25-35,Chinese,No,English,4,2,5,3,1,2,3,5,8,8,5,4,5,5,4,5,Voice 2,Voice 3,Voice 1,3,5,5,3,5,5,4,2,2,3,3,4,5,8,6,,,
Male,25-35,Chinese,No,Chinese,3,6,8,5,4,9,8,8,5,8,6,6,8,7,7,8,Voice 3,Voice 2,Voice 1,7,9,5,6,8,5,9,5,5,7,7,9,8,8,7,Voice 3,Voice 1,Voice 3
Male,25-35,"Southeast Asian (e.g., Vietnamese, Cambodian, Laotian, Thai)",No,Vietnamese,5,3,9,2,1,2,6,3,4,7,3,8,2,3,5,4,Voice 2,Voice 3,Voice 1,8,9,5,5,7,6,10,5,4,5,9,9,7,7,7,Voice 3,Voice 2,Voice 1
Female,18-25,"South Asian (e.g., East Indian, Pakistani, Sri Lankan)",Yes,English,5,8,10,8,3,9,6,6,6,6,7,6,8,8,6,9,Voice 3,Voice 1,Voice 2,5,7,4,4,6,3,8,3,2,8,8,8,7,8,8,Voice 3,Voice 1,Voice 2
Male,25-35,"West Asian (e.g., Iranian, Afghan)",No,English,4,7,10,7,3,8,8,9,8,7,7,9,9,9,9,9,Voice 3,Voice 1,Voice 2,5,5,6,4,5,6,9,6,5,7,3,7,4,8,4,Voice 2,Voice 1,Voice 3
Female,25-35,White,No,English,5,9,10,7,4,9,9,9,9,10,9,9,10,9,8,10,Voice 3,Voice 1,Voice 2,7,8,8,7,9,9,10,8,7,9,9,9,9,10,10,Voice 3,Voice 2,Voice 1
Female,25-35,White,Yes,English,5,7,10,2,1,4,2,7,8,10,4,6,8,6,7,6,Voice 1,Voice 3,Voice 2,7,8,5,4,5,7,10,5,3,7,4,7,4,10,2,Voice 2,Voice 1,Voice 3
Male,18-25,Chinese,Yes,English,5,6,8,7,2,7,5,4,8,9,8,7,7,6,3,6,Voice 2,Voice 1,Voice 3,5,7,7,3,7,5,7,7,2,6,6,6,8,8,8,Voice 2,Voice 3,Voice 1
